No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,4,10uF,"C1,C3,C7,C8",C0603,10uF,TCC0603X5R106K160CT,CCTC(三环),C18164635,LCSC
2,2,100nF,"C2,C4",C0603,100nF,CC0603KRX7R9BB104,YAGEO(国巨),C14663,LCSC
3,2,4.7nF,"C5,C6",C0603,4.7nF,FN18N472J160PBG,PSA(信昌电陶),C22376401,LCSC
4,1,PJ-327A0-SMT,CN1,AUDIO-SMD_PJ-327A0-SMT,,PJ-327A0-SMT,XKB Connection(中国星坤),C381135,LCSC
5,1,1MΩ,R1,R0603,1MΩ,RC0603FR-071ML,YAGEO(国巨),C105578,LCSC
6,1,100kΩ,R2,R0603,100kΩ,FRC0603F1003TS,FOJAN(富捷),C2906980,LCSC
7,2,51Ω,"R3,R4",R0603,51Ω,FRC0603J510 TS,FOJAN(富捷),C2907181,LCSC
8,2,1kΩ,"R7,R8",R0603,1kΩ,FRR0603J102 TS,FOJAN(富捷),C49196793,LCSC
9,2,10kΩ,"R9,R10",R0603,10kΩ,RC0603FR-0710KL,YAGEO(国巨),C98220,LCSC
10,2,3kΩ,"R13,R14",R0603,3kΩ,FRC0603J302 TS,FOJAN(富捷),C2907162,LCSC
11,2,220Ω,"R15,R16",R0603,220Ω,FRC0603F2200TS,FOJAN(富捷),C2907014,LCSC
12,1,MAX98357AETE+T,U1,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,,MAX98357AETE+T,ADI(亚德诺)/MAXIM(美信),C910544,LCSC
13,1,SPH0645LM4H-B-8,U2,MIC-SMD_6P-L3.5-W2.7-P0.90-BL,,SPH0645LM4H-B-8,Knowles(楼氏),C19190864,LCSC
14,1,TLV9062IDR,U7,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,TLV9062IDR,TI(德州仪器),C398355,LCSC
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
